,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
936849,1314,2014-06-30 23:55:48,2014-07-01 00:17:42,442,W 27 St & 7 Ave,40.746646999999996,-73.993915,327,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,21367,Customer,\N,0
936850,376,2014-06-30 23:55:53,2014-07-01 00:02:09,280,E 10 St & 5 Ave,40.73331967,-73.99510132,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,17682,Subscriber,1988,1
936851,317,2014-06-30 23:56:12,2014-07-01 00:01:29,518,E 39 St & 2 Ave,40.74780373,-73.97344190000001,167,E 39 St & 3 Ave,40.7489006,-73.97604882,17376,Subscriber,1984,1
936852,454,2014-06-30 23:56:22,2014-07-01 00:03:56,225,W 14 St & The High Line,40.74195138,-74.00803013,458,11 Ave & W 27 St,40.751396,-74.00522600000001,19955,Subscriber,1967,1
936853,684,2014-06-30 23:56:27,2014-07-01 00:07:51,280,E 10 St & 5 Ave,40.73331967,-73.99510132,470,W 20 St & 8 Ave,40.74345335,-74.00004031,18727,Subscriber,1995,2
936854,1304,2014-06-30 23:56:28,2014-07-01 00:18:12,280,E 10 St & 5 Ave,40.73331967,-73.99510132,308,St James Pl & Oliver St,40.71307916,-73.99851193,21577,Customer,\N,0
936855,299,2014-06-30 23:56:34,2014-07-01 00:01:33,518,E 39 St & 2 Ave,40.74780373,-73.97344190000001,167,E 39 St & 3 Ave,40.7489006,-73.97604882,17747,Subscriber,1989,1
936856,2140,2014-06-30 23:56:40,2014-07-01 00:32:20,525,W 34 St & 11 Ave,40.75594159,-74.0021163,426,West St & Chambers St,40.71754834,-74.01322069,16500,Customer,\N,0
936857,605,2014-06-30 23:56:50,2014-07-01 00:06:55,348,W Broadway & Spring St,40.72490985,-74.00154702,311,Norfolk St & Broome St,40.7172274,-73.98802084,18728,Subscriber,1985,1
936858,265,2014-06-30 23:56:55,2014-07-01 00:01:20,449,W 52 St & 9 Ave,40.76461837,-73.98789473,515,W 43 St & 10 Ave,40.76009437,-73.99461843,18628,Subscriber,1985,1
936859,812,2014-06-30 23:57:01,2014-07-01 00:10:33,514,12 Ave & W 40 St,40.76087502,-74.00277668,459,W 20 St & 11 Ave,40.746745000000004,-74.007756,18800,Subscriber,1996,1
936860,1083,2014-06-30 23:57:08,2014-07-01 00:15:11,358,Christopher St & Greenwich St,40.73291553,-74.00711384,2012,E 27 St & 1 Ave,40.739445,-73.97680600000001,21474,Subscriber,1992,1
936861,686,2014-06-30 23:57:26,2014-07-01 00:08:52,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,365,Fulton St & Grand Ave,40.68223166,-73.9614583,16303,Subscriber,1986,1
936862,211,2014-06-30 23:57:36,2014-07-01 00:01:07,265,Stanton St & Chrystie St,40.72229346,-73.99147535,412,Forsyth St & Canal St,40.715815500000005,-73.99422366,20935,Subscriber,1979,2
936863,527,2014-06-30 23:57:55,2014-07-01 00:06:42,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,432,E 7 St & Avenue A,40.72621788,-73.98379855,14709,Subscriber,1990,1
